SYNTHETIC BANK ACCOUNT STATEMENT
Period: 2026-01-01 — 2026-03-31
Every data row below is one posted bank transaction; no archive or instructions are included.
transaction_id,occurred_at,posted_at,merchant,description,amount_minor,currency,card_last4,channel,status,category_id,merchant_country,mcc,authorization_code,terminal_id,counterparty,balance_after_minor,payment_purpose,provider_reference,fee_minor
TX-000001,2026-01-01 09:07:00,2026-01-02,NOVA MARKET,groceries,-727,RUB,4401,card,posted,food.groceries,RU,5311,AUTH-0000000001,TERM-1001,counterparty-01,7499273,household account; groceries; statement export,PROVIDER-2026-00000001,1
TX-000401,2026-02-10 13:47:00,2026-02-11,NOVA MARKET,groceries,-11527,RUB,4401,card,posted,food.groceries,RU,5311,AUTH-0000000401,TERM-1041,counterparty-17,4022057,household account; groceries; statement export,PROVIDER-2026-00000401,1
TX-000402,2026-02-11 14:54:00,2026-02-12,CITY RIDE,completed ride,-11664,RUB,4402,qr,posted,transport,RU,4121,AUTH-0000000402,TERM-1042,counterparty-18,4010393,household account; completed ride; statement export,PROVIDER-2026-00000402,2
TX-000403,2026-02-12 15:01:00,2026-02-13,RIVER PAY,online order,-11801,RUB,4403,card,posted,services.digital,RU,5812,AUTH-0000000403,TERM-1043,counterparty-19,3998592,household account; online order; statement export,PROVIDER-2026-00000403,3
TX-000404,2026-02-13 16:08:00,2026-02-14,NORTH CAFE,coffee and lunch,-11938,RUB,4404,card,posted,food.cafe,RU,5814,AUTH-0000000404,TERM-1044,counterparty-20,3986654,household account; coffee and lunch; statement export,PROVIDER-2026-00000404,0
TX-000405,2026-02-14 17:15:00,2026-02-15,MEDI-CORNER,pharmacy goods,-12075,RUB,4405,qr,posted,health.pharmacy,RU,5912,AUTH-0000000405,TERM-1045,counterparty-21,3974579,household account; pharmacy goods; statement export,PROVIDER-2026-00000405,1
TX-000406,2026-02-15 18:22:00,2026-02-16,STREAM BOX,monthly subscription,-12212,RUB,4406,card,posted,services.digital,RU,4899,AUTH-0000000406,TERM-1046,counterparty-22,3962367,household account; monthly subscription; statement export,PROVIDER-2026-00000406,2
TX-000407,2026-02-16 19:29:00,2026-02-17,GREEN MARKET,fresh food,-12349,RUB,4407,card,posted,food.groceries,RU,5411,AUTH-0000000407,TERM-1047,counterparty-23,3950018,household account; fresh food; statement export,PROVIDER-2026-00000407,3
TX-000408,2026-02-17 08:36:00,2026-02-18,BOOK HOUSE,books and stationery,-12486,RUB,4408,qr,posted,unknown,RU,5942,AUTH-0000000408,TERM-1048,counterparty-24,3937532,household account; books and stationery; statement export,PROVIDER-2026-00000408,0
TX-000409,2026-02-18 09:43:00,2026-02-19,NOVA MARKET,groceries,-12623,RUB,4409,card,posted,food.groceries,RU,5311,AUTH-0000000409,TERM-1049,counterparty-25,3924909,household account; groceries; statement export,PROVIDER-2026-00000409,1
TX-000410,2026-02-19 10:50:00,2026-02-20,CITY RIDE,completed ride,-12760,RUB,4400,card,posted,transport,RU,4121,AUTH-0000000410,TERM-1050,counterparty-26,3912149,household account; completed ride; statement export,PROVIDER-2026-00000410,2
TX-000411,2026-02-20 11:57:00,2026-02-21,SALARY TEST,monthly income,250000,RUB,4401,qr,posted,income.salary,RU,6011,AUTH-0000000411,TERM-1051,counterparty-27,4162149,household account; monthly income; statement export,PROVIDER-2026-00000411,3
TX-000412,2026-02-21 12:04:00,2026-02-22,NORTH CAFE,coffee and lunch,-13034,RUB,4402,card,posted,food.cafe,RU,5814,AUTH-0000000412,TERM-1052,counterparty-28,4149115,household account; coffee and lunch; statement export,PROVIDER-2026-00000412,0
TX-000413,2026-02-22 13:11:00,2026-02-23,MEDI-CORNER,pharmacy goods,-13171,RUB,4403,card,posted,health.pharmacy,RU,5912,AUTH-0000000413,TERM-1053,counterparty-29,4135944,household account; pharmacy goods; statement export,PROVIDER-2026-00000413,1
TX-000414,2026-02-23 14:18:00,2026-02-24,STREAM BOX,monthly subscription,-13308,RUB,4404,qr,posted,services.digital,RU,4899,AUTH-0000000414,TERM-1054,counterparty-30,4122636,household account; monthly subscription; statement export,PROVIDER-2026-00000414,2
TX-000415,2026-02-24 15:25:00,2026-02-25,GREEN MARKET,fresh food,-13445,RUB,4405,card,posted,food.groceries,RU,5411,AUTH-0000000415,TERM-1055,counterparty-31,4109191,household account; fresh food; statement export,PROVIDER-2026-00000415,3
TX-000416,2026-02-25 16:32:00,2026-02-26,BOOK HOUSE,books and stationery,-13582,RUB,4406,card,posted,unknown,RU,5942,AUTH-0000000416,TERM-1056,counterparty-00,4095609,household account; books and stationery; statement export,PROVIDER-2026-00000416,0
TX-000417,2026-02-26 17:39:00,2026-02-27,NOVA MARKET,groceries,-13719,RUB,4407,qr,posted,food.groceries,RU,5311,AUTH-0000000417,TERM-1057,counterparty-01,4081890,household account; groceries; statement export,PROVIDER-2026-00000417,1
TX-000418,2026-02-27 18:46:00,2026-02-28,CITY RIDE,completed ride,-13856,RUB,4408,card,posted,transport,RU,4121,AUTH-0000000418,TERM-1058,counterparty-02,4068034,household account; completed ride; statement export,PROVIDER-2026-00000418,2
TX-000419,2026-02-28 19:53:00,2026-03-01,RIVER PAY,online order,-13993,RUB,4409,card,posted,services.digital,RU,5812,AUTH-0000000419,TERM-1059,counterparty-03,4054041,household account; online order; statement export,PROVIDER-2026-00000419,3
TX-000420,2026-03-01 08:00:00,2026-03-02,NORTH CAFE,coffee and lunch,-14130,RUB,4400,qr,posted,food.cafe,RU,5814,AUTH-0000000420,TERM-1060,counterparty-04,4039911,household account; coffee and lunch; statement export,PROVIDER-2026-00000420,0
TX-000421,2026-03-02 09:07:00,2026-03-03,MEDI-CORNER,pharmacy goods,-14267,RUB,4401,card,posted,health.pharmacy,RU,5912,AUTH-0000000421,TERM-1061,counterparty-05,4025644,household account; pharmacy goods; statement export,PROVIDER-2026-00000421,1
TX-000422,2026-03-03 10:14:00,2026-03-04,RIVER PAY,partial refund,42000,RUB,4402,card,posted,unknown,RU,возврат,AUTH-0000000422,TERM-1062,counterparty-06,4067644,household account; partial refund; statement export,PROVIDER-2026-00000422,2
TX-000423,2026-03-04 11:21:00,2026-03-05,GREEN MARKET,fresh food,-14541,RUB,4403,qr,posted,food.groceries,RU,5411,AUTH-0000000423,TERM-1063,counterparty-07,4053103,household account; fresh food; statement export,PROVIDER-2026-00000423,3
TX-000424,2026-03-05 12:28:00,2026-03-06,BOOK HOUSE,books and stationery,-14678,RUB,4404,card,posted,unknown,RU,5942,AUTH-0000000424,TERM-1064,counterparty-08,4038425,household account; books and stationery; statement export,PROVIDER-2026-00000424,0
TX-000425,2026-03-06 13:35:00,2026-03-07,NOVA MARKET,groceries,-14815,RUB,4405,card,posted,food.groceries,RU,5311,AUTH-0000000425,TERM-1065,counterparty-09,4023610,household account; groceries; statement export,PROVIDER-2026-00000425,1
TX-000426,2026-03-07 14:42:00,2026-03-08,CITY RIDE,completed ride,-14952,RUB,4406,qr,posted,transport,RU,4121,AUTH-0000000426,TERM-1066,counterparty-10,4008658,household account; completed ride; statement export,PROVIDER-2026-00000426,2
TX-000427,2026-03-08 15:49:00,2026-03-09,RIVER PAY,online order,-15089,RUB,4407,card,posted,services.digital,RU,5812,AUTH-0000000427,TERM-1067,counterparty-11,3993569,household account; online order; statement export,PROVIDER-2026-00000427,3
TX-000428,2026-03-09 16:56:00,2026-03-10,NORTH CAFE,coffee and lunch,-15226,RUB,4408,card,posted,food.cafe,RU,5814,AUTH-0000000428,TERM-1068,counterparty-12,3978343,household account; coffee and lunch; statement export,PROVIDER-2026-00000428,0
TX-000429,2026-03-10 17:03:00,2026-03-11,MEDI-CORNER,pharmacy goods,-15363,RUB,4409,qr,posted,health.pharmacy,RU,5912,AUTH-0000000429,TERM-1069,counterparty-13,3962980,household account; pharmacy goods; statement export,PROVIDER-2026-00000429,1
TX-000430,2026-03-11 18:10:00,2026-03-12,STREAM BOX,monthly subscription,-15500,RUB,4400,card,posted,services.digital,RU,4899,AUTH-0000000430,TERM-1070,counterparty-14,3947480,household account; monthly subscription; statement export,PROVIDER-2026-00000430,2
TX-000431,2026-03-12 19:17:00,2026-03-13,GREEN MARKET,fresh food,-15637,RUB,4401,card,posted,food.groceries,RU,5411,AUTH-0000000431,TERM-1071,counterparty-15,3931843,household account; fresh food; statement export,PROVIDER-2026-00000431,3
TX-000432,2026-03-13 08:24:00,2026-03-14,BOOK HOUSE,books and stationery,-15774,RUB,4402,qr,posted,unknown,RU,5942,AUTH-0000000432,TERM-1072,counterparty-16,3916069,household account; books and stationery; statement export,PROVIDER-2026-00000432,0
TX-000433,2026-03-14 09:31:00,2026-03-15,NOVA MARKET,groceries,-15911,RUB,4403,card,posted,food.groceries,RU,5311,AUTH-0000000433,TERM-1073,counterparty-17,3900158,household account; groceries; statement export,PROVIDER-2026-00000433,1
TX-000434,2026-03-15 10:38:00,2026-03-16,CITY RIDE,completed ride,-16048,RUB,4404,card,posted,transport,RU,4121,AUTH-0000000434,TERM-1074,counterparty-18,3884110,household account; completed ride; statement export,PROVIDER-2026-00000434,2
TX-000435,2026-03-16 11:45:00,2026-03-17,RIVER PAY,online order,-16185,RUB,4405,qr,posted,services.digital,RU,5812,AUTH-0000000435,TERM-1075,counterparty-19,3867925,household account; online order; statement export,PROVIDER-2026-00000435,3
TX-000436,2026-03-17 12:52:00,2026-03-18,NORTH CAFE,coffee and lunch,-16322,RUB,4406,card,posted,food.cafe,RU,5814,AUTH-0000000436,TERM-1076,counterparty-20,3851603,household account; coffee and lunch; statement export,PROVIDER-2026-00000436,0
TX-000437,2026-03-18 13:59:00,2026-03-19,MEDI-CORNER,pharmacy goods,-16459,RUB,4407,card,posted,health.pharmacy,RU,5912,AUTH-0000000437,TERM-1077,counterparty-21,3835144,household account; pharmacy goods; statement export,PROVIDER-2026-00000437,1
TX-000438,2026-03-19 14:06:00,2026-03-20,STREAM BOX,monthly subscription,-16596,RUB,4408,qr,posted,services.digital,RU,4899,AUTH-0000000438,TERM-1078,counterparty-22,3818548,household account; monthly subscription; statement export,PROVIDER-2026-00000438,2
TX-000439,2026-03-20 15:13:00,2026-03-21,GREEN MARKET,fresh food,-16733,RUB,4409,card,posted,food.groceries,RU,5411,AUTH-0000000439,TERM-1079,counterparty-23,3801815,household account; fresh food; statement export,PROVIDER-2026-00000439,3
TX-000440,2026-03-21 16:20:00,2026-03-22,BOOK HOUSE,books and stationery,-16870,RUB,4400,card,posted,unknown,RU,5942,AUTH-0000000440,TERM-1080,counterparty-24,3784945,household account; books and stationery; statement export,PROVIDER-2026-00000440,0
TX-000441,2026-03-22 17:27:00,2026-03-23,NOVA MARKET,groceries,-17007,RUB,4401,qr,posted,food.groceries,RU,5311,AUTH-0000000441,TERM-1081,counterparty-25,3767938,household account; groceries; statement export,PROVIDER-2026-00000441,1
TX-000442,2026-03-23 18:34:00,2026-03-24,CITY RIDE,completed ride,-17144,RUB,4402,card,posted,transport,RU,4121,AUTH-0000000442,TERM-1082,counterparty-26,3750794,household account; completed ride; statement export,PROVIDER-2026-00000442,2
TX-000443,2026-03-24 19:41:00,2026-03-25,RIVER PAY,online order,-17281,RUB,4403,card,posted,services.digital,RU,5812,AUTH-0000000443,TERM-1083,counterparty-27,3733513,household account; online order; statement export,PROVIDER-2026-00000443,3
TX-000444,2026-03-25 08:48:00,2026-03-26,NORTH CAFE,coffee and lunch,-17418,RUB,4404,qr,posted,food.cafe,RU,5814,AUTH-0000000444,TERM-1084,counterparty-28,3716095,household account; coffee and lunch; statement export,PROVIDER-2026-00000444,0
TX-000445,2026-03-26 09:55:00,2026-03-27,MEDI-CORNER,pharmacy goods,-17555,RUB,4405,card,posted,health.pharmacy,RU,5912,AUTH-0000000445,TERM-1085,counterparty-29,3698540,household account; pharmacy goods; statement export,PROVIDER-2026-00000445,1
TX-000446,2026-03-27 10:02:00,2026-03-28,STREAM BOX,monthly subscription,-17692,RUB,4406,card,posted,services.digital,RU,4899,AUTH-0000000446,TERM-1086,counterparty-30,3680848,household account; monthly subscription; statement export,PROVIDER-2026-00000446,2
TX-000447,2026-03-28 11:09:00,2026-03-29,GREEN MARKET,fresh food,-17829,RUB,4407,qr,posted,food.groceries,RU,5411,AUTH-0000000447,TERM-1087,counterparty-31,3663019,household account; fresh food; statement export,PROVIDER-2026-00000447,3
TX-000448,2026-03-29 12:16:00,2026-03-30,BOOK HOUSE,books and stationery,-17966,RUB,4408,card,posted,unknown,RU,5942,AUTH-0000000448,TERM-1088,counterparty-00,3645053,household account; books and stationery; statement export,PROVIDER-2026-00000448,0
TX-000449,2026-03-30 13:23:00,2026-03-31,NOVA MARKET,groceries,-18103,RUB,4409,card,posted,food.groceries,RU,5311,AUTH-0000000449,TERM-1089,counterparty-01,3626950,household account; groceries; statement export,PROVIDER-2026-00000449,1
TX-000450,2026-03-31 14:30:00,2026-04-01,CITY RIDE,completed ride,-18240,RUB,4400,qr,posted,transport,RU,4121,AUTH-0000000450,TERM-1000,counterparty-02,3608710,household account; completed ride; statement export,PROVIDER-2026-00000450,2
TX-000451,2026-01-01 15:37:00,2026-01-02,RIVER PAY,online order,-18377,RUB,4401,card,posted,services.digital,RU,5812,AUTH-0000000451,TERM-1001,counterparty-03,3590333,household account; online order; statement export,PROVIDER-2026-00000451,3
TX-000452,2026-01-02 16:44:00,2026-01-03,NORTH CAFE,coffee and lunch,-18514,RUB,4402,card,posted,food.cafe,RU,5814,AUTH-0000000452,TERM-1002,counterparty-04,3571819,household account; coffee and lunch; statement export,PROVIDER-2026-00000452,0
TX-000453,2026-01-03 17:51:00,2026-01-04,MEDI-CORNER,pharmacy goods,-18651,RUB,4403,qr,posted,health.pharmacy,RU,5912,AUTH-0000000453,TERM-1003,counterparty-05,3553168,household account; pharmacy goods; statement export,PROVIDER-2026-00000453,1
TX-000454,2026-01-04 18:58:00,2026-01-05,STREAM BOX,monthly subscription,-18788,RUB,4404,card,posted,services.digital,RU,4899,AUTH-0000000454,TERM-1004,counterparty-06,3534380,household account; monthly subscription; statement export,PROVIDER-2026-00000454,2
TX-000455,2026-01-05 19:05:00,2026-01-06,GREEN MARKET,fresh food,-18925,RUB,4405,card,posted,food.groceries,RU,5411,AUTH-0000000455,TERM-1005,counterparty-07,3515455,household account; fresh food; statement export,PROVIDER-2026-00000455,3
TX-000456,2026-01-06 08:12:00,2026-01-07,BOOK HOUSE,books and stationery,-19062,RUB,4406,qr,posted,unknown,RU,5942,AUTH-0000000456,TERM-1006,counterparty-08,3496393,household account; books and stationery; statement export,PROVIDER-2026-00000456,0
TX-000457,2026-01-07 09:19:00,2026-01-08,NOVA MARKET,groceries,-19199,RUB,4407,card,posted,food.groceries,RU,5311,AUTH-0000000457,TERM-1007,counterparty-09,3477194,household account; groceries; statement export,PROVIDER-2026-00000457,1
TX-000458,2026-01-08 10:26:00,2026-01-09,CITY RIDE,completed ride,-19336,RUB,4408,card,posted,transport,RU,4121,AUTH-0000000458,TERM-1008,counterparty-10,3457858,household account; completed ride; statement export,PROVIDER-2026-00000458,2
TX-000459,2026-01-09 11:33:00,2026-01-10,RIVER PAY,online order,-19473,RUB,4409,qr,posted,services.digital,RU,5812,AUTH-0000000459,TERM-1009,counterparty-11,3438385,household account; online order; statement export,PROVIDER-2026-00000459,3
TX-000460,2026-01-10 12:40:00,2026-01-11,NORTH CAFE,coffee and lunch,-19610,RUB,4400,card,posted,food.cafe,RU,5814,AUTH-0000000460,TERM-1010,counterparty-12,3418775,household account; coffee and lunch; statement export,PROVIDER-2026-00000460,0
TX-000461,2026-01-11 13:47:00,2026-01-12,MEDI-CORNER,pharmacy goods,-19747,RUB,4401,card,posted,health.pharmacy,RU,5912,AUTH-0000000461,TERM-1011,counterparty-13,3399028,household account; pharmacy goods; statement export,PROVIDER-2026-00000461,1
TX-000462,2026-01-12 14:54:00,2026-01-13,STREAM BOX,monthly subscription,-19884,RUB,4402,qr,posted,services.digital,RU,4899,AUTH-0000000462,TERM-1012,counterparty-14,3379144,household account; monthly subscription; statement export,PROVIDER-2026-00000462,2
TX-000463,2026-01-13 15:01:00,2026-01-14,GREEN MARKET,fresh food,-20021,RUB,4403,card,posted,food.groceries,RU,5411,AUTH-0000000463,TERM-1013,counterparty-15,3359123,household account; fresh food; statement export,PROVIDER-2026-00000463,3
TX-000464,2026-01-14 16:08:00,2026-01-15,BOOK HOUSE,books and stationery,-20158,RUB,4404,card,posted,unknown,RU,5942,AUTH-0000000464,TERM-1014,counterparty-16,3338965,household account; books and stationery; statement export,PROVIDER-2026-00000464,0
TX-000465,2026-01-15 17:15:00,2026-01-16,NOVA MARKET,groceries,-20295,RUB,4405,qr,posted,food.groceries,RU,5311,AUTH-0000000465,TERM-1015,counterparty-17,3318670,household account; groceries; statement export,PROVIDER-2026-00000465,1
TX-000466,2026-01-16 18:22:00,2026-01-17,CITY RIDE,completed ride,-20432,RUB,4406,card,posted,transport,RU,4121,AUTH-0000000466,TERM-1016,counterparty-18,3298238,household account; completed ride; statement export,PROVIDER-2026-00000466,2
TX-000467,2026-01-17 19:29:00,2026-01-18,RIVER PAY,online order,-20569,RUB,4407,card,posted,services.digital,RU,5812,AUTH-0000000467,TERM-1017,counterparty-19,3277669,household account; online order; statement export,PROVIDER-2026-00000467,3
TX-000468,2026-01-18 08:36:00,2026-01-19,NORTH CAFE,coffee and lunch,-20706,RUB,4408,qr,posted,food.cafe,RU,5814,AUTH-0000000468,TERM-1018,counterparty-20,3256963,household account; coffee and lunch; statement export,PROVIDER-2026-00000468,0
TX-000469,2026-01-19 09:43:00,2026-01-20,MEDI-CORNER,pharmacy goods,-20843,RUB,4409,card,posted,health.pharmacy,RU,5912,AUTH-0000000469,TERM-1019,counterparty-21,3236120,household account; pharmacy goods; statement export,PROVIDER-2026-00000469,1
TX-000470,2026-01-20 10:50:00,2026-01-21,STREAM BOX,monthly subscription,-20980,RUB,4400,card,posted,services.digital,RU,4899,AUTH-0000000470,TERM-1020,counterparty-22,3215140,household account; monthly subscription; statement export,PROVIDER-2026-00000470,2
TX-000471,2026-01-21 11:57:00,2026-01-22,GREEN MARKET,fresh food,-21117,RUB,4401,qr,posted,food.groceries,RU,5411,AUTH-0000000471,TERM-1021,counterparty-23,3194023,household account; fresh food; statement export,PROVIDER-2026-00000471,3
TX-000472,2026-01-22 12:04:00,2026-01-23,BOOK HOUSE,books and stationery,-21254,RUB,4402,card,posted,unknown,RU,5942,AUTH-0000000472,TERM-1022,counterparty-24,3172769,household account; books and stationery; statement export,PROVIDER-2026-00000472,0
TX-000473,2026-01-23 13:11:00,2026-01-24,NOVA MARKET,groceries,-21391,RUB,4403,card,posted,food.groceries,RU,5311,AUTH-0000000473,TERM-1023,counterparty-25,3151378,household account; groceries; statement export,PROVIDER-2026-00000473,1
TX-000474,2026-01-24 14:18:00,2026-01-25,CITY RIDE,completed ride,-21528,RUB,4404,qr,posted,transport,RU,4121,AUTH-0000000474,TERM-1024,counterparty-26,3129850,household account; completed ride; statement export,PROVIDER-2026-00000474,2
TX-000475,2026-01-25 15:25:00,2026-01-26,RIVER PAY,online order,-21665,RUB,4405,card,posted,services.digital,RU,5812,AUTH-0000000475,TERM-1025,counterparty-27,3108185,household account; online order; statement export,PROVIDER-2026-00000475,3
TX-000476,2026-01-26 16:32:00,2026-01-27,NORTH CAFE,coffee and lunch,-21802,RUB,4406,card,posted,food.cafe,RU,5814,AUTH-0000000476,TERM-1026,counterparty-28,3086383,household account; coffee and lunch; statement export,PROVIDER-2026-00000476,0
TX-000477,2026-01-27 17:39:00,2026-01-28,MEDI-CORNER,pharmacy goods,-21939,RUB,4407,qr,posted,health.pharmacy,RU,5912,AUTH-0000000477,TERM-1027,counterparty-29,3064444,household account; pharmacy goods; statement export,PROVIDER-2026-00000477,1
TX-000478,2026-01-28 18:46:00,2026-01-29,STREAM BOX,monthly subscription,-22076,RUB,4408,card,posted,services.digital,RU,4899,AUTH-0000000478,TERM-1028,counterparty-30,3042368,household account; monthly subscription; statement export,PROVIDER-2026-00000478,2
TX-000479,2026-01-29 19:53:00,2026-01-30,GREEN MARKET,fresh food,-213,RUB,4409,card,posted,food.groceries,RU,5411,AUTH-0000000479,TERM-1029,counterparty-31,3042155,household account; fresh food; statement export,PROVIDER-2026-00000479,3
TX-000480,2026-01-30 08:00:00,2026-01-31,BOOK HOUSE,books and stationery,-350,RUB,4400,qr,posted,unknown,RU,5942,AUTH-0000000480,TERM-1030,counterparty-00,3041805,household account; books and stationery; statement export,PROVIDER-2026-00000480,0
TX-000481,2026-01-31 09:07:00,2026-02-01,NOVA MARKET,groceries,-487,RUB,4401,card,posted,food.groceries,RU,5311,AUTH-0000000481,TERM-1031,counterparty-01,3041318,household account; groceries; statement export,PROVIDER-2026-00000481,1
TX-000482,2026-02-01 10:14:00,2026-02-02,CITY RIDE,completed ride,-624,RUB,4402,card,posted,transport,RU,4121,AUTH-0000000482,TERM-1032,counterparty-02,3040694,household account; completed ride; statement export,PROVIDER-2026-00000482,2
TX-000483,2026-02-02 11:21:00,2026-02-03,RIVER PAY,online order,-761,RUB,4403,qr,posted,services.digital,RU,5812,AUTH-0000000483,TERM-1033,counterparty-03,3039933,household account; online order; statement export,PROVIDER-2026-00000483,3
TX-000484,2026-02-03 12:28:00,2026-02-04,NORTH CAFE,coffee and lunch,-898,RUB,4404,card,posted,food.cafe,RU,5814,AUTH-0000000484,TERM-1034,counterparty-04,3039035,household account; coffee and lunch; statement export,PROVIDER-2026-00000484,0
TX-000485,2026-02-04 13:35:00,2026-02-05,MEDI-CORNER,pharmacy goods,-1035,RUB,4405,card,posted,health.pharmacy,RU,5912,AUTH-0000000485,TERM-1035,counterparty-05,3038000,household account; pharmacy goods; statement export,PROVIDER-2026-00000485,1
TX-000486,2026-02-05 14:42:00,2026-02-06,STREAM BOX,monthly subscription,-1172,RUB,4406,qr,posted,services.digital,RU,4899,AUTH-0000000486,TERM-1036,counterparty-06,3036828,household account; monthly subscription; statement export,PROVIDER-2026-00000486,2
TX-000487,2026-02-06 15:49:00,2026-02-07,GREEN MARKET,fresh food,-1309,RUB,4407,card,posted,food.groceries,RU,5411,AUTH-0000000487,TERM-1037,counterparty-07,3035519,household account; fresh food; statement export,PROVIDER-2026-00000487,3
TX-000488,2026-02-07 16:56:00,2026-02-08,BOOK HOUSE,books and stationery,-1446,RUB,4408,card,posted,unknown,RU,5942,AUTH-0000000488,TERM-1038,counterparty-08,3034073,household account; books and stationery; statement export,PROVIDER-2026-00000488,0
TX-000489,2026-02-08 17:03:00,2026-02-09,NOVA MARKET,groceries,-1583,RUB,4409,qr,posted,food.groceries,RU,5311,AUTH-0000000489,TERM-1039,counterparty-09,3032490,household account; groceries; statement export,PROVIDER-2026-00000489,1
TX-000490,2026-02-09 18:10:00,2026-02-10,CITY RIDE,completed ride,-1720,RUB,4400,card,posted,transport,RU,4121,AUTH-0000000490,TERM-1040,counterparty-10,3030770,household account; completed ride; statement export,PROVIDER-2026-00000490,2
TX-000491,2026-02-10 19:17:00,2026-02-11,RIVER PAY,online order,-1857,RUB,4401,card,posted,services.digital,RU,5812,AUTH-0000000491,TERM-1041,counterparty-11,3028913,household account; online order; statement export,PROVIDER-2026-00000491,3
TX-000492,2026-02-11 08:24:00,2026-02-12,NORTH CAFE,coffee and lunch,-1994,RUB,4402,qr,posted,food.cafe,RU,5814,AUTH-0000000492,TERM-1042,counterparty-12,3026919,household account; coffee and lunch; statement export,PROVIDER-2026-00000492,0
TX-000493,2026-02-12 09:31:00,2026-02-13,MEDI-CORNER,pharmacy goods,-2131,RUB,4403,card,posted,health.pharmacy,RU,5912,AUTH-0000000493,TERM-1043,counterparty-13,3024788,household account; pharmacy goods; statement export,PROVIDER-2026-00000493,1
TX-000494,2026-02-13 10:38:00,2026-02-14,STREAM BOX,monthly subscription,-2268,RUB,4404,card,posted,services.digital,RU,4899,AUTH-0000000494,TERM-1044,counterparty-14,3022520,household account; monthly subscription; statement export,PROVIDER-2026-00000494,2
TX-000495,2026-02-14 11:45:00,2026-02-15,GREEN MARKET,fresh food,-2405,RUB,4405,qr,posted,food.groceries,RU,5411,AUTH-0000000495,TERM-1045,counterparty-15,3020115,household account; fresh food; statement export,PROVIDER-2026-00000495,3
TX-000496,2026-02-15 12:52:00,2026-02-16,BOOK HOUSE,books and stationery,-2542,RUB,4406,card,posted,unknown,RU,5942,AUTH-0000000496,TERM-1046,counterparty-16,3017573,household account; books and stationery; statement export,PROVIDER-2026-00000496,0
TX-000497,2026-02-16 13:59:00,2026-02-17,NOVA MARKET,groceries,-2679,RUB,4407,card,posted,food.groceries,RU,5311,AUTH-0000000497,TERM-1047,counterparty-17,3014894,household account; groceries; statement export,PROVIDER-2026-00000497,1
TX-000498,2026-02-17 14:06:00,2026-02-18,CITY RIDE,completed ride,-2816,RUB,4408,qr,posted,transport,RU,4121,AUTH-0000000498,TERM-1048,counterparty-18,3012078,household account; completed ride; statement export,PROVIDER-2026-00000498,2
TX-000499,2026-02-18 15:13:00,2026-02-19,RIVER PAY,online order,-2953,RUB,4409,card,posted,services.digital,RU,5812,AUTH-0000000499,TERM-1049,counterparty-19,3009125,household account; online order; statement export,PROVIDER-2026-00000499,3
TX-000500,2026-02-19 16:20:00,2026-02-20,NORTH CAFE,coffee and lunch,-3090,RUB,4400,card,posted,food.cafe,RU,5814,AUTH-0000000500,TERM-1050,counterparty-20,3006035,household account; coffee and lunch; statement export,PROVIDER-2026-00000500,0
TX-000501,2026-02-20 17:27:00,2026-02-21,MEDI-CORNER,pharmacy goods,-3227,RUB,4401,qr,posted,health.pharmacy,RU,5912,AUTH-0000000501,TERM-1051,counterparty-21,3002808,household account; pharmacy goods; statement export,PROVIDER-2026-00000501,1
TX-000502,2026-02-21 18:34:00,2026-02-22,STREAM BOX,monthly subscription,-3364,RUB,4402,card,posted,services.digital,RU,4899,AUTH-0000000502,TERM-1052,counterparty-22,2999444,household account; monthly subscription; statement export,PROVIDER-2026-00000502,2
TX-000503,2026-02-22 19:41:00,2026-02-23,GREEN MARKET,fresh food,-3501,RUB,4403,card,posted,food.groceries,RU,5411,AUTH-0000000503,TERM-1053,counterparty-23,2995943,household account; fresh food; statement export,PROVIDER-2026-00000503,3
TX-000504,2026-02-23 08:48:00,2026-02-24,BOOK HOUSE,books and stationery,-3638,RUB,4404,qr,posted,unknown,RU,5942,AUTH-0000000504,TERM-1054,counterparty-24,2992305,household account; books and stationery; statement export,PROVIDER-2026-00000504,0
TX-000505,2026-02-24 09:55:00,2026-02-25,NOVA MARKET,groceries,-3775,RUB,4405,card,posted,food.groceries,RU,5311,AUTH-0000000505,TERM-1055,counterparty-25,2988530,household account; groceries; statement export,PROVIDER-2026-00000505,1
TX-000506,2026-02-25 10:02:00,2026-02-26,CITY RIDE,completed ride,-3912,RUB,4406,card,posted,transport,RU,4121,AUTH-0000000506,TERM-1056,counterparty-26,2984618,household account; completed ride; statement export,PROVIDER-2026-00000506,2
TX-000507,2026-02-26 11:09:00,2026-02-27,RIVER PAY,online order,-4049,RUB,4407,qr,posted,services.digital,RU,5812,AUTH-0000000507,TERM-1057,counterparty-27,2980569,household account; online order; statement export,PROVIDER-2026-00000507,3
TX-000508,2026-02-27 12:16:00,2026-02-28,NORTH CAFE,coffee and lunch,-4186,RUB,4408,card,posted,food.cafe,RU,5814,AUTH-0000000508,TERM-1058,counterparty-28,2976383,household account; coffee and lunch; statement export,PROVIDER-2026-00000508,0
TX-000509,2026-02-28 13:23:00,2026-03-01,MEDI-CORNER,pharmacy goods,-4323,RUB,4409,card,posted,health.pharmacy,RU,5912,AUTH-0000000509,TERM-1059,counterparty-29,2972060,household account; pharmacy goods; statement export,PROVIDER-2026-00000509,1
